Plant,PN,Description,版次,单位,MRP控制者,MRP控制者描述,JIT进料周期,最小起订量,最小包装量,计划类型,机种,采购员,采购员描述,MRP库存,审核中的PR,执行中PO,ITEM,20240714,20240721,20240728,20240804,20240811,20240818,20240825,20240901,20240908,20240915,20240922,20240929,20241006,20241103,20241201,20250105,20250202,20250302,20250406,20250504,20250601
1000,283-0019,25Gb/s 1x4 Array Oxide VCSEL low power,1A,PC,056,T21246张鲁,62,"1,000","1,000",PD,,A07,吕文悦,0,0,"257,000",PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,283-0029,"VCSEL,4ch VISEL for 25Gbps optical",1A,PC,056,T21246张鲁,62,1,1,PD,,A07,吕文悦,0,0,"144,877",PMC,"24,601.000","24,602.000",0.000,"9,256.000","9,256.000","9,256.000","1,852.000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,300-0144,Housing Body,1D,PC,056,T21246张鲁,45,"1,000",100,PD,F28 G10 F29,A06,李跃红,"18,424",0,"31,943",PMC,"8,633.000","8,633.000","8,634.000","5,226.000","5,226.000","5,226.000","1,722.000","3,660.000","3,660.000","3,660.000","3,660.000","3,660.000","20,284.000","16,364.000","15,875.000","15,874.000","16,364.000","16,365.000","16,364.000","16,364.000","14,405.000"
1000,300-0316,"Housing Body,COST DOWN",1A,PC,056,T21246张鲁,45,"1,000",100,PD,F29,A06,李跃红,"2,210",0,"7,928",PMC,0.000,0.000,0.000,200.000,0.000,0.000,0.000,"2,180.000","2,180.000","2,180.000","2,180.000","2,180.000","5,500.000","5,500.000","5,500.000","12,500.000","12,500.000","12,495.000","13,000.000","13,000.000","12,000.000"
1000,300-0317,"Housing LID,COST DOWN",1B,PC,056,T21246张鲁,45,"1,000",100,PD,F29,A06,李跃红,512,0,"3,788",PMC,0.000,0.000,0.000,500.000,0.000,0.000,0.000,"2,540.000","2,540.000","2,540.000","2,540.000","2,540.000","5,512.000","5,512.000","5,515.000","12,528.000","12,528.000","12,520.000","13,028.000","13,028.000","12,025.000"
1000,300-0355,Housing lid,1B,PC,056,T21246张鲁,45,"1,000",100,PD,F28 G10 F29,A06,李跃红,"20,314",0,"30,985",PMC,"5,826.000","5,826.000",948.000,"5,226.000","5,226.000","5,226.000","1,722.000","3,660.000","3,660.000","3,660.000","3,660.000","3,660.000","20,284.000","16,364.000","15,875.000","15,874.000","16,364.000","16,365.000","16,364.000","16,364.000","14,405.000"
1000,300-0515-CD,"Housing Lid,QSFP28 CD,Zamak3",1A,PC,056,T21246张鲁,45,"1,000",100,PD,M90,A06,李跃红,0,0,"37,672",PMC,"20,700.000",0.000,0.000,"9,425.000","9,425.000","9,425.000","9,425.000","9,360.000","9,360.000","9,360.000","9,360.000","9,360.000","52,004.000","52,004.000","52,010.000","31,000.000","31,000.000","31,005.000","31,000.000","31,000.000","31,005.000"
1000,300-0516-CD,"Housing Body,QSFP28 CD,Zamak3",1A,PC,056,T21246张鲁,45,"1,000",100,PD,M90,A06,李跃红,0,0,"37,568",PMC,"20,700.000",0.000,0.000,"9,425.000","9,425.000","9,425.000","9,425.000","9,360.000","9,360.000","9,360.000","9,360.000","9,360.000","52,004.000","52,004.000","52,010.000","31,000.000","31,000.000","31,005.000","31,000.000","31,000.000","31,005.000"
1000,302-0006,TSLG Nylok Screw M1.7x0.35x4.5x6,1A,PC,056,T21246张鲁,38,"1,000","1,000",PD,M48 F36 F28 G10 F29 M05,A06,李跃红,"103,465",0,"50,100",PMC,0.000,0.000,0.000,"18,703.000","18,703.000","19,863.000","14,731.000","13,800.000","13,800.000","13,800.000","13,800.000","13,800.000","82,032.000","58,892.000","49,510.000","51,912.000","52,892.000","38,490.000","38,492.000","36,932.000","33,010.000"
1000,302-0067-CD,"Spring,SUS304,d0.23xD1.5x7.5mm",1A,PC,056,T21246张鲁,45,"1,000",100,PD,F49 M90,A06,李跃红,"1,247",0,"94,000",PMC,"62,100.000",0.000,0.000,"19,800.000","19,800.000","19,800.000","19,800.000","19,660.000","19,660.000","19,660.000","19,660.000","19,660.000","109,192.000","109,192.000","109,200.000","65,092.000","65,092.000","65,100.000","65,092.000","65,092.000","65,100.000"
1000,310-0166,"advanced thermal pad,5*5*1.0mm",1A,PC,056,T21246张鲁,45,"1,000",100,PD,B12 F28 G10 B10 F29,A16,辛帆,"17,441",0,"42,800",PMC,"4,526.000","7,203.000","2,371.000","8,171.000","7,175.000","7,175.000","6,179.000","5,220.000","5,220.000","5,220.000","5,220.000","5,220.000","27,352.000","23,788.000","23,295.000","30,306.000","30,796.000","30,785.000","31,296.000","31,296.000","28,330.000"
1000,310-0357,"Pull Tab+Lach,Beige color",1B,PC,056,T21246张鲁,45,"1,000",100,PD,G10 F28 F29,A06,李跃红,653,0,0,PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,80.000,80.000,80.000,80.000,304.000,304.000,305.000,304.000,304.000,305.000,304.000,304.000,305.000
1000,310-0362,"Lens Clamp For SR4 V3,SUS301 1/2H,0.2mm",1A,PC,056,T21246张鲁,45,"1,000",100,PD,F28 G10 F29 F49,A06,李跃红,"33,681",0,"4,300",PMC,0.000,0.000,0.000,"5,227.000","5,227.000","5,227.000","1,019.000","3,640.000","3,640.000","3,640.000","3,640.000","3,640.000","20,288.000","16,368.000","15,880.000","15,878.000","16,368.000","16,370.000","16,368.000","16,368.000","14,410.000"
1000,310-0376,"EMI Pad,Gray,3.6*3.6*1.0mm",1B,PC,056,T21246张鲁,45,"1,000",100,PD,F49 M90 F29,A16,辛帆,"6,767",0,"137,500",PMC,"39,800.000",0.000,0.000,"24,350.000","24,350.000","24,350.000","24,350.000","21,540.000","21,540.000","21,540.000","21,540.000","21,540.000","116,552.000","116,552.000","116,560.000","87,924.000","87,924.000","87,920.000","88,924.000","88,924.000","86,930.000"
1000,310-0440,"MPO dust cover,Silicon rubber,black",2A,PC,056,T21246张鲁,45,"1,000",100,PD,F36 D03 M05 F29 F06 M16,A16,辛帆,"11,252",0,"5,300",PMC,0.000,0.000,0.000,"2,719.000","4,000.000","4,580.000","2,970.000","4,900.000","4,900.000","4,900.000","4,900.000","4,900.000","18,213.000","17,613.000","15,142.000","22,138.000","22,138.000","16,137.000","16,638.000","15,858.000","14,335.000"
1000,310-0494-001,"Pull tab,Beige,Cisco,1m",1A,PC,056,T21246张鲁,45,"1,000",100,PD,F29,A06,李跃红,252,0,"5,040",PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780.000,780.000,780.000,780.000,780.000,"5,512.000","5,512.000","5,515.000","12,528.000","12,528.000","12,520.000","13,028.000","13,028.000","12,025.000"
1000,310-0795-CD,"Pull Tab+Lach,QSFP8 CD,Beige 475U",1A,PC,056,T21246张鲁,45,"1,000",100,PD,M90,A06,李跃红,0,0,"37,501",PMC,"20,600.000",0.000,0.000,"9,425.000","9,425.000","9,425.000","9,425.000","9,360.000","9,360.000","9,360.000","9,360.000","9,360.000","52,004.000","52,004.000","52,010.000","31,000.000","31,000.000","31,005.000","31,000.000","31,000.000","31,005.000"
1000,311-0207,"Thermal Pad,13.5*13.5*1mm",1A,PC,056,T21246张鲁,45,"1,000",100,PD,F28 G10 F29,A16,辛帆,"15,699",0,"40,800",PMC,"4,826.000","5,826.000","2,348.000","6,950.000","6,950.000","6,950.000","6,950.000","4,900.000","4,900.000","4,900.000","4,900.000","4,900.000","25,784.000","21,864.000","21,375.000","28,374.000","28,864.000","28,860.000","29,364.000","29,364.000","26,405.000"
1000,311-0567-CD,"Thermal pad,HD90500,10.5x8x0.5mm",1A,PC,056,T21246张鲁,45,1,1,PD,F49 M90,A16,辛帆,-846,0,"51,433",PMC,"17,564.000",0.000,0.000,"9,519.000","9,519.000","9,519.000","9,520.000","9,453.000","9,453.000","9,453.000","9,453.000","9,454.000","52,516.000","52,516.000","52,520.000","31,308.000","31,308.000","31,310.000","31,308.000","31,308.000","31,310.000"
1000,312-0093-CD,"MPO dust cover,EPDM,single-end black",1A,PC,056,T21246张鲁,45,1,1,PD,M90,A16,辛帆,0,0,"38,232",PMC,"20,709.000",0.000,0.000,"9,425.000","9,425.000","9,425.000","9,425.000","9,359.000","9,359.000","9,359.000","9,359.000","9,362.000","51,996.000","51,996.000","52,000.000","30,996.000","30,996.000","31,000.000","30,996.000","30,996.000","31,000.000"
1000,314-0051-CD,"MPO adapter,QSFP28 CD,Balck",1A,PC,056,T21246张鲁,45,1,1,PD,M90,A16,辛帆,0,0,"45,667",PMC,"28,859.000",0.000,0.000,"9,426.000","9,426.000","9,426.000","9,429.000","9,361.000","9,361.000","9,361.000","9,361.000","9,362.000","52,004.000","52,004.000","52,010.000","31,000.000","31,000.000","31,005.000","31,000.000","31,000.000","31,005.000"
1000,320-0109,MPO adapter,2C,PC,056,T21246张鲁,45,"1,000",100,PD,F36 M48 M05 F29 F06 M16,A06,李跃红,"21,643",0,"12,800",PMC,500.000,800.000,0.000,"6,900.000","6,900.000","6,900.000","6,900.000","4,760.000","4,760.000","4,760.000","4,760.000","4,760.000","26,463.000","18,813.000","15,142.000","23,338.000","23,338.000","16,137.000","16,638.000","15,858.000","14,335.000"
1000,320-0328,"Guide Pin MM,SUS420J2F,M0.698*6.5L,多模",1A,PC,056,T21246张鲁,38,"1,000","1,000",PD,,A10,王紫慧,0,0,"1,000",PMC,"1,000.000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2000,140-0848,"IC,bare Die,4x25G Driver",1A,PC,056,T21246张鲁,45,108,1,PD,F29 F28,A03,徐敏,"31,215",0,"169,064",PMC,"5,125.000","3,161.000",0.000,"9,159.000","9,159.000","9,159.000","3,663.000","6,593.000","6,593.000","6,593.000","6,593.000","6,596.000","36,628.000","36,124.000","34,105.000","33,604.000","33,604.000","33,605.000","33,604.000","31,584.000","25,530.000"
2000,140-0849,"IC,bare Die,4x25G TIA",1A,PC,056,T21246张鲁,45,108,1,PD,F28 F29,A03,徐敏,"31,946",0,"168,601",PMC,"5,125.000","2,446.000",0.000,"9,159.000","9,159.000","9,159.000","3,663.000","6,593.000","6,593.000","6,593.000","6,593.000","6,596.000","36,628.000","36,124.000","34,105.000","33,604.000","33,604.000","33,605.000","33,604.000","31,584.000","25,530.000"
2000,220-0072,MT Ferrule Connector /MM(OM3),1D,PC,056,T21246张鲁,38,100,100,PD,F29,A10,王紫慧,82,0,"11,313",PMC,0.000,0.000,0.000,"3,856.000","3,856.000","3,856.000","1,932.000","2,840.000","2,840.000","2,840.000","2,840.000","2,840.000","19,456.000","19,456.000","17,440.000","16,432.000","16,432.000","16,435.000","16,432.000","16,432.000","13,410.000"
2000,220-0227,MT Ferrule Conn/MM(OM3),1A,PC,056,T21246张鲁,38,100,100,PD,F28,A04,李宗洋,"1,444",0,"2,600",PMC,327.000,273.000,0.000,571.000,571.000,571.000,287.000,380.000,380.000,380.000,380.000,380.000,"1,852.000","1,796.000","1,795.000","1,852.000","1,852.000","1,850.000","1,852.000","1,632.000","1,305.000"
2000,280-1018,25G GaAs 1x4PIN array,1A,PC,056,T21246张鲁,45,1,1,PD,F28 F29,A07,吕文悦,940,0,"113,294",PMC,"19,494.000","19,494.000",0.000,"9,256.000","9,256.000","9,256.000","3,703.000","6,665.000","6,665.000","6,665.000","6,665.000","6,666.000","37,032.000","36,524.000","34,480.000","33,968.000","33,968.000","33,970.000","33,968.000","31,932.000","25,810.000"
2000,283-0019,25Gb/s 1x4 Array Oxide VCSEL low power,1A,PC,056,T21246张鲁,62,"1,000","1,000",PD,,A07,吕文悦,"18,986",0,0,PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2000,283-0029,"VCSEL,4ch VISEL for 25Gbps optical",1A,PC,056,T21246张鲁,62,1,1,PD,F28 F29,A07,吕文悦,"7,416",0,0,PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"7,406.000","7,406.000","7,406.000","7,406.000","7,408.000","37,032.000","36,524.000","34,480.000","33,968.000","33,968.000","33,970.000","33,968.000","31,932.000","25,810.000"
2000,284-0089-20,"PEI Lens,2.0dB absorbing coating",1A,PC,056,T21246张鲁,45,100,100,PD,F29 F28,A04,李宗洋,"17,419",0,"52,700",PMC,"10,700.000","10,700.000",0.000,"9,200.000","9,200.000","9,200.000","3,700.000","6,620.000","6,620.000","6,620.000","6,620.000","6,620.000","36,804.000","36,296.000","34,270.000","33,764.000","33,764.000","33,760.000","33,764.000","31,736.000","25,655.000"
2000,300-0316,"Housing Body,COST DOWN",1A,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A06,李跃红,"18,114",0,"12,261",PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,420.000,420.000,420.000,420.000,420.000,"9,502.000","13,422.000","13,424.000","4,458.000","3,478.000","3,470.000","2,978.000","2,978.000","3,974.000"
2000,300-0317,"Housing LID,COST DOWN",1B,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A06,李跃红,"19,864",0,"16,673",PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,80.000,80.000,80.000,80.000,"9,510.000","13,434.000","13,439.000","4,462.000","3,482.000","3,475.000","2,982.000","2,982.000","3,979.000"
2000,310-0166,"advanced thermal pad,5*5*1.0mm",1A,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A16,辛帆,"13,648",0,"1,766",PMC,"1,700.000",0.000,0.000,0.000,0.000,0.000,0.000,"1,320.000","1,320.000","1,320.000","1,320.000","1,320.000","9,510.000","13,434.000","13,439.000","4,462.000","3,482.000","3,475.000","2,982.000","2,982.000","3,979.000"
2000,310-0357,"Pull Tab+Lach,Beige color",1B,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A06,李跃红,"7,700",0,"1,802",PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,420.000,420.000,420.000,420.000,420.000,"3,004.000","3,004.000","3,005.000","2,004.000","2,004.000","2,000.000","2,004.000","2,004.000","2,000.000"
2000,310-0376,"EMI Pad,Gray,3.6*3.6*1.0mm",1B,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A16,辛帆,"27,210",0,0,PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"2,680.000","2,680.000","2,680.000","2,680.000","2,680.000","19,132.000","27,060.000","27,058.000","8,964.000","6,984.000","6,965.000","5,972.000","5,972.000","7,983.000"
2000,310-0440,"MPO dust cover,Silicon rubber,black",2A,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A16,辛帆,"21,444",0,"1,131",PMC,0.000,0.000,0.000,"1,131.000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"9,494.000","13,414.000","13,414.000","4,454.000","3,474.000","3,465.000","2,974.000","2,974.000","3,969.000"
2000,310-0494-001,"Pull tab,Beige,Cisco,1m",1A,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A06,李跃红,"19,875",0,0,PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"6,510.000","10,438.000","10,439.000","2,462.000","1,478.000","1,475.000",978.000,978.000,"1,979.000"
2000,311-0207,"Thermal Pad,13.5*13.5*1mm",1A,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A16,辛帆,"13,440",0,"1,000",PMC,"1,000.000",0.000,0.000,0.000,0.000,0.000,0.000,"1,360.000","1,360.000","1,360.000","1,360.000","1,360.000","9,510.000","13,438.000","13,439.000","4,462.000","3,478.000","3,470.000","2,978.000","2,978.000","3,974.000"
2000,320-0109,MPO adapter,2C,PC,056,T21246张鲁,38,"1,000",100,PD,F29,A06,李跃红,"12,110",0,"4,100",PMC,"4,100.000",0.000,0.000,0.000,0.000,0.000,0.000,"1,620.000","1,620.000","1,620.000","1,620.000","1,620.000","9,494.000","13,414.000","13,414.000","4,454.000","3,474.000","3,465.000","2,974.000","2,974.000","3,969.000"
2000,320-0328,"Guide Pin MM,SUS420J2F,M0.698*6.5L,多模",1A,PC,056,T21246张鲁,38,"1,000","1,000",PD,F29 F28,A10,王紫慧,"35,541",0,"61,000",PMC,"11,000.000","12,000.000",0.000,"18,447.000","18,447.000","18,447.000","11,659.000","12,400.000","12,400.000","12,400.000","12,400.000","12,400.000","73,756.000","72,740.000","68,680.000","67,672.000","67,672.000","67,675.000","67,672.000","63,600.000","51,410.000"
2000,341-0036,"Pressing,17.06x13mm",1A,PC,056,T21246张鲁,38,"1,000",100,PD,F28,A06,李跃红,"26,535",0,0,PMC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,852.000,828.000,825.000,852.000,852.000,850.000,852.000,752.000,600.000