PN,Plant,Scrap
100-0018,1000,0.30
100-0018,2000,0.00
100-0021,1000,0.30
100-0021,2000,0.00
100-0021,5000,0.30
100-0024,1000,0.30
100-0024,2000,0.00
100-0024,5000,0.30
100-0025,1000,0.30
100-0025,2000,0.00
100-0025,5000,0.30
100-0031,1000,0.30
100-0031,2000,0.00
100-0031,5000,0.30
100-0033,1000,0.30
100-0033,2000,0.00
100-0033,5000,0.30
100-0035,1000,0.30
100-0035,2000,0.00
100-0038,1000,0.30
100-0038,2000,0.00
100-0038,5000,0.30
100-0054,1000,0.30
100-0054,2000,0.00
100-0061,1000,0.30
100-0061,2000,0.00
100-0061,5000,0.30
100-0062,1000,0.30
100-0062,2000,0.00
100-0062,5000,0.30
100-0073,1000,0.30
100-0073,2000,0.00
100-0073,5000,0.30
100-0074,1000,0.30
100-0074,2000,0.00
100-0074,5000,0.30
100-0084,1000,0.30
100-0084,2000,0.00
100-0084,5000,0.30
100-0086,1000,0.30
100-0086,2000,0.00
100-0086,5000,0.30
100-0086-01,1000,0.30
100-0088,1000,0.30
100-0088,2000,0.00
100-0088,5000,0.30
100-0106,1000,0.30
100-0106,2000,0.00
100-0107,1000,0.30
100-0107,2000,0.00
100-0108,1000,0.30
100-0108,2000,0.00
100-0115,1000,0.30
100-0115,2000,0.00
100-0116,1000,0.30
100-0116,2000,0.00
100-0116,5000,0.30
100-0119,1000,0.30
100-0119,2000,0.00
100-0122,1000,0.30
100-0122,2000,0.00
100-0141,1000,0.30
100-0141,2000,0.00
100-0142,1000,0.30
100-0142,2000,0.00
100-0143,1000,0.30
100-0143,2000,0.00
100-0143,5000,0.30
100-0144,1000,0.30
100-0144,2000,0.00
100-0214,1000,0.30
100-0214,2000,0.00
100-0222,1000,0.30
100-0222,2000,0.00
100-0224,1000,0.30
100-0224,2000,0.00
100-0225,1000,0.30
100-0225,2000,0.00
100-0227,1000,0.30
100-0227,2000,0.00
100-0228,1000,0.30
100-0228,2000,0.00
100-0265,1000,0.30
100-0265,2000,0.00
100-0268,1000,0.30
100-0285,1000,0.30
100-0286,1000,0.30
100-0300,1000,0.30
100-0365,1000,0.30
101-0001,1000,0.30
101-0001,2000,0.30
101-0001,5000,0.00
110-0001,1000,0.30
110-0001,2000,0.00
110-0001,5000,0.30
110-0002,1000,0.30
110-0002,2000,0.00
110-0002,5000,0.30
110-0003,1000,0.30
110-0003,2000,0.00
110-0003,5000,0.30
110-0011,1000,0.30
110-0011,2000,0.00
110-0011,5000,0.30
110-0019,1000,0.30
110-0019,2000,0.00
110-0040,1000,0.30
110-0040,2000,0.00
110-0063,1000,0.30
110-0063,2000,0.00
110-0063,5000,0.30
110-0064,1000,0.30
110-0064,2000,0.00
110-0064,5000,0.30
110-0083,1000,0.30
110-0083,2000,0.00
110-0099,1000,0.30
110-0099,2000,0.00
110-0099,5000,0.30
110-0121,1000,0.30
110-0121,2000,0.00
110-0121,5000,0.30
110-0156,1000,0.30
110-0156,2000,0.00
110-0158,1000,0.30
110-0158,2000,0.00
110-0158,5000,0.30
110-0161,1000,0.30
110-0161,2000,0.00
110-0172,1000,0.30
110-0172,2000,0.00
110-0174,1000,0.30
110-0174,2000,0.00
110-0174,5000,0.30
110-0177,1000,0.30
110-0177,2000,0.00
110-0177,5000,0.30
110-0207,1000,0.30
110-0207,2000,0.00
110-0213,1000,0.30
110-0213,2000,0.00
110-0214,1000,0.30
110-0214,2000,0.00
110-0216,1000,0.30
110-0216,2000,0.00
110-0216,5000,0.30
110-0220,1000,0.30
110-0220,2000,0.00
110-0237,1000,0.30
110-0237,2000,0.00
110-0237,5000,0.30
110-0239,1000,0.30
110-0239,2000,0.00
110-0241,1000,0.30
110-0241,2000,0.00
110-0241,5000,0.30
110-0243,1000,0.30
110-0243,2000,0.00
110-0246,1000,0.30
110-0246,2000,0.00
110-0246,5000,0.30
110-0248,1000,0.30
110-0248,2000,0.00
110-0249,1000,0.30
110-0249,2000,0.00
110-0249,5000,0.30
110-0252,1000,0.30
110-0252,2000,0.00
110-0253,1000,0.30
110-0253,2000,0.00
110-0260,1000,0.30
110-0260,2000,0.00
110-0261,1000,0.30
110-0261,2000,0.00
110-0261,5000,0.30
110-0267,1000,0.30
110-0267,2000,0.00
110-0268,1000,0.30
110-0268,2000,0.00
110-0270,1000,0.30
110-0270,2000,0.00
110-0272,1000,0.30
110-0272,2000,0.00
110-0272,5000,0.30
110-0273,1000,0.30
110-0273,2000,0.00
110-0284,1000,0.30
110-0284,2000,0.00
110-0284,5000,0.00
110-0295,1000,0.30
110-0295,2000,0.00
110-0295,5000,0.30
110-0296,1000,0.30
110-0296,2000,0.00
110-0298,1000,0.30
110-0298,2000,0.00
110-0298,5000,0.30
110-0308,1000,0.30
110-0308,2000,0.00
110-0308,5000,0.30
110-0311,1000,0.30
110-0311,2000,0.00
110-0311,5000,0.30
110-0312,1000,0.30
110-0312,2000,0.00
110-0368,1000,0.30
110-0368,2000,0.00
110-0369,1000,0.30
110-0369,2000,0.00
110-0369,5000,0.30
110-0370,1000,0.30
110-0370,2000,0.00
110-0371,1000,0.30
110-0371,2000,0.00
110-0371,5000,0.30
110-0372,1000,0.30
110-0372,2000,0.00
110-0373,1000,0.30
110-0373,2000,0.00
110-0373,5000,0.30
110-0374,1000,0.30
110-0374,2000,0.00
110-0375,1000,0.30
110-0375,2000,0.00
110-0376,1000,0.30
110-0376,2000,0.00
110-0376,5000,0.30
110-0377,1000,0.30
110-0377,2000,0.00
110-0378,1000,0.30
110-0378,2000,0.00
110-0379,1000,0.30
110-0379,2000,0.00
110-0379,5000,0.30
110-0380,1000,0.30
110-0380,2000,0.00
110-0381,1000,0.30
110-0381,2000,0.00
110-0460,1000,0.30
110-0460,2000,0.00
110-0460,5000,0.30
110-0561,1000,0.30
110-0566,1000,0.30
110-0566,2000,0.30
110-0570,1000,0.30
110-0570,2000,0.30
110-0571,1000,0.30
110-0602,1000,0.30
110-0603,1000,0.30
110-0603,2000,0.30
110-0624,1000,0.30
110-0624,2000,0.30
110-0627,1000,0.30
110-0627,2000,0.30
110-0713,1000,0.30
110-0730,1000,0.30
110-0730,2000,0.30
120-0029,1000,0.30
120-0029,2000,0.00
120-0029,5000,0.30
120-0046,1000,0.30
120-0046,2000,0.00
120-0046,5000,0.30
120-0047,1000,0.30
120-0047,2000,0.00
120-0051,1000,0.30
120-0051,2000,0.00
120-0051,5000,0.30
120-0099,1000,0.30
120-0099,2000,0.00
120-0100,1000,0.30
120-0100,2000,0.00
120-0120,1000,0.30
120-0120,2000,0.00
120-0121,1000,0.30
120-0121,2000,0.00
120-0121,5000,0.30
120-0128,1000,0.30
120-0128,2000,0.00
120-0129,1000,0.30
120-0129,2000,0.00
120-0129,5000,0.30
120-0138,1000,0.30
120-0138,2000,0.00
120-0143,1000,0.30
120-0143,2000,0.00
120-0143,5000,0.30
120-0152,1000,0.30
120-0152,2000,0.00
120-0157,1000,0.30
120-0157,2000,0.00
120-0202,1000,0.30
120-0202,2000,0.00
120-0202,5000,0.30
120-0215,1000,0.30
120-0215,2000,0.00
120-0224,1000,0.30
120-0224,2000,0.00
120-0232,1000,0.30
120-0232,2000,0.00
120-0247,1000,0.30
120-0248,1000,0.30
120-0248,2000,0.30
120-0249,1000,0.30
120-0249,2000,0.30
120-0253,1000,0.30
120-0254,1000,0.30
120-0260,1000,0.30
120-0310,1000,0.30
121-0020,1000,0.30
121-0053,1000,0.30
121-0053,5000,0.30
130-0077,1000,0.30
130-0077,2000,0.00
130-0077,5000,0.30
140-0022,1000,0.10
140-0022,2000,0.00
140-0113,1000,0.10
140-0113,2000,0.00
140-0113,5000,0.10
140-0179,1000,0.10
140-0179,2000,0.00
140-0221,1000,0.10
140-0221,2000,0.00
140-0221,5000,0.10
140-0240,1000,0.10
140-0240,2000,0.00
140-0246,1000,0.10
140-0246,2000,0.00
140-0253,1000,0.10
140-0253,2000,0.00
140-0253,5000,0.10
140-0310,1000,0.10
140-0310,2000,0.00
140-0313,1000,0.10
140-0313,2000,0.00
140-0313,5000,0.10
140-0338,1000,0.10
140-0338,2000,0.00
140-0340,1000,0.10
140-0340,2000,0.00
140-0341,1000,0.10
140-0341,2000,0.00
140-0341-RW,1000,0.10
140-0341-RW,2000,0.10
140-0345,1000,0.10
140-0345,2000,0.00
140-0355,1000,0.10
140-0355,2000,0.00
140-0355,5000,0.10
140-0364,1000,0.10
140-0364,2000,0.00
140-0384,1000,0.10
140-0384,2000,0.00
140-0384,5000,0.10
140-0386,1000,0.10
140-0386,2000,0.00
140-0386,5000,0.10
140-0392,1000,0.10
140-0392,2000,0.00
140-0403,1000,0.10
140-0403,2000,0.00
140-0434,1000,0.10
140-0434,2000,0.00
140-0446,1000,0.10
140-0446,2000,0.00
140-0470,1000,0.10
140-0470,2000,0.00
140-0471,1000,0.10
140-0471,2000,0.00
140-0472,1000,0.10
140-0472,2000,0.00
140-0475,1000,0.10
140-0475,2000,0.00
140-0477,1000,0.10
140-0477,2000,0.00
140-0481,1000,0.10
140-0481,2000,0.00
140-0481,5000,0.10
140-0546,1000,0.10
140-0546,2000,0.00
140-0547,1000,0.10
140-0547,2000,0.00
140-0599,1000,0.10
140-0599,2000,0.00
140-0628,1000,0.10
140-0628,2000,0.00
140-0628,5000,0.10
140-0638,1000,0.10
140-0638,2000,0.00
140-0639,1000,0.10
140-0639,2000,0.00
140-0645,1000,0.10
140-0645,2000,0.00
140-0645,5000,0.10
140-0834,1000,0.10
140-0834,2000,0.10
140-0834,5000,0.10
140-0847,1000,0.10
140-0848,1000,0.10
140-0848,2000,0.00
140-0849,1000,0.10
140-0849,2000,0.00
140-0851,1000,0.10
140-0851,2000,0.00
140-0852,1000,0.10
140-0853,1000,0.10
140-0853,5000,0.10
140-1028,1000,0.10
140-1028,2000,0.10
140-1028,5000,0.10
140-1104,1000,0.10
140-1183-CD,1000,0.00
160-1115,1000,0.10
160-1115,2000,0.00
160-1132,1000,0.10
160-1132,2000,0.00
160-1136,1000,0.10
160-1136,2000,0.00
160-1153,1000,0.10
160-1153,2000,0.00
160-1168,1000,0.10
160-1168,2000,0.00
160-1169,1000,0.10
160-1169,2000,0.00
160-1171,1000,0.10
160-1171,2000,0.00
160-1172,1000,0.10
160-1172,2000,0.00
160-1179-00,1000,0.10
160-1179-00,2000,0.00
160-1186,1000,0.10
160-1186,2000,0.00
160-1218,1000,0.10
160-1218,2000,0.00
160-1237,1000,0.10
160-1237,2000,0.00
160-1287,1000,0.10
160-1291,1000,0.10
160-1421,1000,0.10
160-1422,1000,0.10
161-0159,1000,0.00
161-0159,2000,0.00
220-0072,1000,0.00
220-0072,2000,0.00
220-0076,1000,0.00
220-0076,2000,0.00
220-0129,1000,0.00
220-0129,2000,0.00
220-0133,1000,0.00
220-0133,2000,0.00
220-0134-001,1000,0.00
220-0134-001,2000,0.00
220-0134-002,1000,0.00
220-0134-002,2000,0.00
220-0134-003,1000,0.00
220-0134-003,2000,0.00
220-0134-005,1000,0.00
220-0134-005,2000,0.00
220-0134-007,1000,0.00
220-0134-007,2000,0.00
220-0134-010,1000,0.00
220-0134-010,2000,0.00
220-0134-015,1000,0.00
220-0134-015,2000,0.00
220-0134-020,1000,0.00
220-0134-020,2000,0.00
220-0134-025,1000,0.00
220-0134-030,1000,0.00
220-0134-030,2000,0.00
220-0152-003,1000,0.00
220-0152-005,1000,0.00
220-0152-007,1000,0.00
220-0152-010,1000,0.00
220-0152-010,2000,0.00
220-0152-020,1000,0.00
220-0211-005,1000,0.00
220-0211-007,1000,0.10
220-0211-010,1000,0.00
220-0211-020,1000,0.10
220-0227,1000,0.00
220-0227,2000,0.00
220-0230-001,1000,0.00
220-0230-002,1000,0.00
220-0230-003,1000,0.00
220-0230-004,1000,0.00
220-0230-005,1000,0.00
220-0230-006,1000,0.00
220-0230-007,1000,0.00
220-0230-008,1000,0.00
220-0230-010,1000,0.00
220-0230-012,1000,0.00
220-0230-013,1000,0.00
220-0230-015,1000,0.00
220-0230-020,1000,0.00
220-0230-025,1000,0.00
220-0230-030,1000,0.00
220-0230-0P5,1000,0.00
223-0011,1000,0.00
223-0011,2000,0.00
223-0012,1000,0.00
223-0012,2000,0.00
260-0147-02,2000,0.00
260-0199,5000,0.00
280-0025,1000,0.00
280-0025,2000,0.00
280-0025-02,1000,0.00
280-0025-02,2000,0.00
280-0025-45,1000,0.00
280-0025-45,2000,0.00
280-0159,1000,0.00
280-0159,2000,0.00
280-0213,1000,0.00
280-0213,2000,0.00
280-0293-27,1000,0.00
280-0293-27,2000,0.00
280-0293-29,1000,0.00
280-0293-29,2000,0.00
280-0293-31,1000,0.00
280-0293-31,2000,0.00
280-0293-33,1000,0.00
280-0293-33,2000,0.00
280-0397,1000,0.00
280-0397,2000,0.00
280-0418,1000,0.00
280-0418,2000,0.00
280-0423,1000,0.00
280-0423,2000,0.00
280-0425,1000,0.00
280-0425,2000,0.00
280-0431,1000,0.00
280-0431,2000,0.00
280-0439,1000,0.00
280-0439,2000,0.00
280-0440,1000,0.00
280-0440,2000,0.00
280-0441,1000,0.00
280-0441,2000,0.00
280-0442,1000,0.00
280-0442,2000,0.00
280-0443,1000,0.00
280-0443,2000,0.00
280-0444,1000,0.00
280-0444,2000,0.00
280-0445,1000,0.00
280-0445,2000,0.00
280-0446,1000,0.00
280-0446,2000,0.00
280-0447,1000,0.00
280-0447,2000,0.00
280-0467,1000,0.00
280-0467,2000,0.00
280-0489,1000,0.00
280-0489,2000,0.00
280-0508-27,1000,0.00
280-0508-27,2000,0.00
280-0508-29,1000,0.00
280-0508-29,2000,0.00
280-0508-31,1000,0.00
280-0508-31,2000,0.00
280-0508-33,1000,0.00
280-0508-33,2000,0.00
280-0511-03,1000,0.00
280-0511-03,2000,0.00
280-0511-04,1000,0.00
280-0511-04,2000,0.00
280-0511-05,1000,0.00
280-0511-05,2000,0.00
280-0511-06,1000,0.00
280-0511-06,2000,0.00
280-0511-07,1000,0.00
280-0511-07,2000,0.00
280-0511-08,1000,0.00
280-0511-08,2000,0.00
280-0512,1000,0.00
280-0512,2000,0.00
280-0546,1000,0.00
280-0546,2000,0.00
280-0547,1000,0.00
280-0547,2000,0.00
280-0548,1000,0.00
280-0548,2000,0.00
280-0549,1000,0.00
280-0549,2000,0.00
280-0550,1000,0.00
280-0550,2000,0.00
280-0551,1000,0.00
280-0551,2000,0.00
280-0552,1000,0.00
280-0552,2000,0.00
280-0553,1000,0.00
280-0553,2000,0.00
280-0554,1000,0.00
280-0554,2000,0.00
280-0555,1000,0.00
280-0555,2000,0.00
280-0556,1000,0.00
280-0556,2000,0.00
280-0557,1000,0.00
280-0557,2000,0.00
280-0558,1000,0.00
280-0558,2000,0.00
280-0574,1000,0.00
280-0574,2000,0.00
280-0587,1000,0.00
280-0587,2000,0.00
280-0607,1000,0.00
280-0607,2000,0.00
280-0609,1000,0.00
280-0609,2000,0.00
280-0636,1000,0.00
280-0636,2000,0.00
280-0650,1000,0.00
280-0650,2000,0.00
280-0654,1000,0.00
280-0654,2000,0.00
280-0654,5000,0.00
280-0654-CN,1000,0.00
280-0654-CN,2000,0.00
280-0655,1000,0.00
280-0655,2000,0.00
280-0677,1000,0.00
280-0677,2000,0.00
280-0695,1000,0.00
280-0695,2000,0.00
280-0696,1000,0.00
280-0696,2000,0.00
280-0698,1000,0.00
280-0698,2000,0.00
280-0699,1000,0.00
280-0699,2000,0.00
280-0700,1000,0.00
280-0700,2000,0.00
280-0701,1000,0.00
280-0701,2000,0.00
280-0701,5000,0.00
280-0702,1000,0.00
280-0702,2000,0.00
280-0704,1000,0.00
280-0704,2000,0.00
280-0705,1000,0.00
280-0705,2000,0.00
280-0739,1000,0.00
280-0739,2000,0.00
280-0739-CN,1000,0.00
280-0739-CN,2000,0.00
280-0750-27,1000,0.00
280-0750-27,2000,0.00
280-0750-29,1000,0.00
280-0750-29,2000,0.00
280-0750-31,1000,0.00
280-0750-31,2000,0.00
280-0750-33,1000,0.00
280-0750-33,2000,0.00
280-0751,1000,0.00
280-0751,2000,0.00
280-0752-27,1000,0.00
280-0752-27,2000,0.00
280-0752-29,1000,0.00
280-0752-29,2000,0.00
280-0752-31,1000,0.00
280-0752-31,2000,0.00
280-0752-33,1000,0.00
280-0752-33,2000,0.00
280-0765,1000,0.00
280-0765,2000,0.00
280-0770,1000,0.00
280-0770,2000,0.00
280-0786,1000,0.00
280-0786,2000,0.00
280-0787,1000,0.00
280-0787,2000,0.00
280-0789-10A,1000,0.00
280-0789-10A,2000,0.00
280-0789-10B,1000,0.00
280-0789-10B,2000,0.00
280-0789-10C,1000,0.00
280-0789-10C,2000,0.00
280-0791,1000,0.00
280-0791,2000,0.00
280-0791-R,1000,0.00
280-0791-R,2000,0.00
280-0793,1000,0.00
280-0793,2000,0.00
280-0793-02,1000,0.00
280-0793-02,2000,0.00
280-0798,1000,0.00
280-0798,2000,0.00
280-0798,5000,0.00
280-0810,1000,0.00
280-0810,2000,0.00
280-0836-27,1000,0.00
280-0836-27,2000,0.00
280-0836-29,1000,0.00
280-0836-29,2000,0.00
280-0836-31,1000,0.00
280-0836-31,2000,0.00
280-0836-33,1000,0.00
280-0836-33,2000,0.00
280-0837,1000,0.00
280-0837,2000,0.00
280-0845-001,1000,0.00
280-0845-001,2000,0.00
280-0845-002,1000,0.00
280-0845-002,2000,0.00
280-0845-003,1000,0.00
280-0845-003,2000,0.00
280-0845-004,1000,0.00
280-0845-004,2000,0.00
280-0845-005,1000,0.00
280-0845-005,2000,0.00
280-0845-006,1000,0.00
280-0845-006,2000,0.00
280-0845-007,1000,0.00
280-0845-007,2000,0.00
280-0845-008,1000,0.00
280-0845-008,2000,0.00
280-0845-010,1000,0.00
280-0845-010,2000,0.00
280-0845-012,1000,0.00
280-0845-012,2000,0.00
280-0845-013,1000,0.00
280-0845-013,2000,0.00
280-0845-015,1000,0.00
280-0845-015,2000,0.00
280-0845-020,1000,0.00
280-0845-020,2000,0.00
280-0845-025,1000,0.00
280-0845-025,2000,0.00
280-0845-030,1000,0.00
280-0845-030,2000,0.00
280-0845-040,1000,0.00
280-0845-040,2000,0.00
280-0845-050,1000,0.00
280-0845-050,2000,0.00
280-0845-0P5,1000,0.00
280-0845-0P5,2000,0.00
280-0845-100,1000,0.00
280-0845-100,2000,0.00
280-0848,1000,0.00
280-0848,2000,0.00
280-0861,1000,0.00
280-0861,2000,0.00
280-0862,1000,0.00
280-0862,2000,0.00
280-0865,1000,0.00
280-0865,2000,0.00
280-0866,1000,0.00
280-0866,2000,0.00
280-0867,1000,0.00
280-0867,2000,0.00
280-0897,1000,0.00
280-0897,2000,0.00
280-0898,1000,0.00
280-0898,2000,0.00
280-0913,1000,0.00
280-0913,2000,0.00
280-0932,1000,0.00
280-0932,2000,0.00
280-0933,1000,0.00
280-0933,2000,0.00
280-0940,1000,0.00
280-0940,2000,0.00
280-0952,1000,0.00
280-0952,2000,0.00
280-0981-N0,1000,0.00
280-0981-N0,2000,0.00
280-0981-N1,1000,0.00
280-0981-N1,2000,0.00
280-0981-N2,1000,0.00
280-0981-N2,2000,0.00
280-0981-N3,1000,0.00
280-0981-N3,2000,0.00
280-0990,1000,0.00
280-0990,2000,0.00
280-0991,1000,0.00
280-0991,2000,0.00
280-0992,1000,0.00
280-0992,2000,0.00
280-0994,1000,0.00
280-0994,2000,0.00
280-0995,1000,0.00
280-0995,2000,0.00
280-0996,1000,0.00
280-0996,2000,0.00
280-0997,1000,0.00
280-0997,2000,0.00
280-0998,1000,0.00
280-0998,2000,0.00
280-0999,1000,0.00
280-0999,2000,0.00
280-1000,1000,0.00
280-1000,2000,0.00
280-1001,1000,0.00
280-1001,2000,0.00
280-1002,1000,0.00
280-1002,2000,0.00
280-1011,1000,0.00
280-1011,2000,0.00
280-1013,1000,0.00
280-1013,2000,0.00
280-1014-27,1000,0.00
280-1014-27,2000,0.00
280-1014-29,1000,0.00
280-1014-29,2000,0.00
280-1014-31,1000,0.00
280-1014-31,2000,0.00
280-1014-33,1000,0.00
280-1014-33,2000,0.00
280-1018,1000,0.00
280-1018,2000,0.00
280-1019,1000,0.00
280-1019,2000,0.00
280-1044-27,1000,0.00
280-1044-27,2000,0.00
280-1044-29,1000,0.00
280-1044-29,2000,0.00
280-1044-31,1000,0.00
280-1044-31,2000,0.00
280-1044-33,1000,0.00
280-1044-33,2000,0.00
280-1049-27-RW,1000,0.00
280-1049-27-RW,2000,0.00
280-1049-29-RW,1000,0.00
280-1049-29-RW,2000,0.00
280-1049-31-RW,1000,0.00
280-1049-31-RW,2000,0.00
280-1049-33-RW,1000,0.00
280-1049-33-RW,2000,0.00
280-1134,1000,0.00
280-1134,2000,0.00
280-1188,1000,0.00
280-1188,2000,0.00
280-1312-27-R,1000,0.00
280-1312-27-R,2000,0.00
280-1312-29-R,1000,0.00
280-1312-29-R,2000,0.00
280-1312-31-R,1000,0.00
280-1312-31-R,2000,0.00
280-1312-33-R,1000,0.00
280-1312-33-R,2000,0.00
281-0002,1000,0.00
281-0002,2000,0.00
281-0009,1000,0.00
281-0009,2000,0.00
281-0070,1000,0.00
281-0070,2000,0.00
282-0014,1000,0.00
282-0014,2000,0.00
282-0015,1000,0.00
282-0015,2000,0.00
282-0016,1000,0.00
282-0016,2000,0.00
282-0040,1000,0.00
282-0040,2000,0.00
282-0041,1000,0.00
282-0041,2000,0.00
282-0042,1000,0.00
282-0042,2000,0.00
282-0053,1000,0.00
282-0053,2000,0.00
282-0140,1000,0.00
282-0140,2000,0.00
282-0140,5000,0.00
282-0141,1000,0.00
282-0141,2000,0.00
282-0141,5000,0.00
282-0330,1000,0.00
282-0330,2000,0.00
282-0333,1000,0.00
282-0333,2000,0.00
282-0432,1000,0.00
282-0432,2000,0.00
282-0433,1000,0.00
282-0433,2000,0.00
282-0434,1000,0.00
282-0434,2000,0.00
282-0601,1000,0.00
282-0601,2000,0.00
283-0015,1000,0.00
283-0015,2000,0.00
283-0019,1000,0.00
283-0019,2000,0.00
283-0019,5000,0.00
283-0029,1000,0.00
283-0029,2000,0.00
283-0046-27,1000,0.00
283-0046-27,2000,0.00
283-0046-29,1000,0.00
283-0046-29,2000,0.00
283-0046-31,1000,0.00
283-0046-31,2000,0.00
283-0046-33,1000,0.00
283-0046-33,2000,0.00
283-0047-31,1000,0.00
283-0047-31,2000,0.00
283-0055,1000,0.00
283-0055,2000,0.00
283-0056-N0,1000,0.00
283-0056-N0,2000,0.00
283-0056-N1,1000,0.00
283-0056-N1,2000,0.00
283-0056-N2,1000,0.00
283-0056-N2,2000,0.00
283-0056-N3,1000,0.00
283-0056-N3,2000,0.00
283-0080,1000,0.00
283-0080,2000,0.00
283-0081,1000,0.00
283-0081,2000,0.00
283-0082,1000,0.00
283-0082,2000,0.00
283-0098,1000,0.00
283-0098,2000,0.00
283-0109-27,1000,0.00
283-0109-27,2000,0.00
283-0109-29,1000,0.00
283-0109-29,2000,0.00
283-0109-31,1000,0.00
283-0109-31,2000,0.00
283-0109-33,1000,0.00
283-0109-33,2000,0.00
283-0110-27,1000,0.00
283-0110-27,2000,0.00
283-0110-29,1000,0.00
283-0110-29,2000,0.00
283-0110-31,1000,0.00
283-0110-31,2000,0.00
283-0110-33,1000,0.00
283-0110-33,2000,0.00
283-0111,1000,0.00
283-0111,2000,0.00
283-0116,1000,0.00
283-0116,2000,0.00
283-0118,1000,0.00
283-0118,2000,0.00
283-0120,1000,0.00
283-0120,2000,0.00
283-0122,1000,0.00
